milk,water,sugar,flour,chocolate,egg,butter,bread
bread,chicken,paneer,butter,,,,
bread,jam,ketchup,omlette,onion,tomato,cucumber,
chocolate,bread,milk,biscuit,sugar,,,
chicken,rice,roti,cashew,curd,water,,
curd,salt,onion,chilli,tomato,carrot,water,pepper
pepper,shrimp,omlette,bread,butter,,,
soap,handwash,water,towel,scrubber,,,
shampoo,conditioner,serum,,,,,
shampoo,soap,towel,scrubber,conditioner,,,
cable,adapter,extension,dryer,heater,starightner,,
cable,adapter,heater,,,,,
heater,extension,dryer,straightner,,,,
cable,phone,powerbank,adapter,,,,
phone,phonecase,cable,extension,adapter,,,
extension,bulb,switch,cable,,,,
maggi,maggi masala,water,salt,onion,tomato,,
rice,paneer,onion,tomato,cashew,chilli,salt,
paneer,pepper,roti,salt,,,,
chicken,roti,salt,chilli,rice,,,
milk,water,sugar,flour,chocolate,egg,butter,bread
bread,chicken,paneer,butter,,,,
bread,jam,ketchup,omlette,onion,tomato,cucumber,
chocolate,bread,milk,biscuit,sugar,,,
chicken,rice,roti,cashew,curd,water,,
curd,salt,onion,chilli,tomato,carrot,water,pepper
pepper,shrimp,omlette,bread,butter,,,
soap,handwash,water,towel,scrubber,,,
shampoo,conditioner,serum,,,,,
shampoo,soap,towel,scrubber,conditioner,,,
cable,adapter,extension,dryer,heater,starightner,,
cable,adapter,heater,,,,,
heater,extension,dryer,straightner,,,,
cable,phone,powerbank,adapter,,,,
phone,phonecase,cable,extension,adapter,,,
extension,bulb,switch,cable,,,,
maggi,maggi masala,water,salt,onion,tomato,,
rice,paneer,onion,tomato,cashew,chilli,salt,
paneer,pepper,roti,salt,,,,
chicken,roti,salt,chilli,rice,,,
milk,water,sugar,flour,chocolate,egg,butter,bread
bread,chicken,paneer,butter,,,,
bread,jam,ketchup,omlette,onion,tomato,cucumber,
chocolate,bread,milk,biscuit,sugar,,,
chicken,rice,roti,cashew,curd,water,,
curd,salt,onion,chilli,tomato,carrot,water,pepper
pepper,shrimp,omlette,bread,butter,,,
soap,handwash,water,towel,scrubber,,,
shampoo,conditioner,serum,,,,,
shampoo,soap,towel,scrubber,conditioner,,,
cable,adapter,extension,dryer,heater,starightner,,
cable,adapter,heater,,,,,
heater,extension,dryer,straightner,,,,
cable,phone,powerbank,adapter,,,,
phone,phonecase,cable,extension,adapter,,,
extension,bulb,switch,cable,,,,
maggi,maggi masala,water,salt,onion,tomato,,
rice,paneer,onion,tomato,cashew,chilli,salt,
paneer,pepper,roti,salt,,,,
chicken,roti,salt,chilli,rice,,,
milk,water,sugar,flour,chocolate,egg,butter,bread
bread,chicken,paneer,butter,,,,
bread,jam,ketchup,omlette,onion,tomato,cucumber,
chocolate,bread,milk,biscuit,sugar,,,
chicken,rice,roti,cashew,curd,water,,
curd,salt,onion,chilli,tomato,carrot,water,pepper
